Year,Month,Day,Hour,Day_of_Week,Weekend,Public_Holiday,Location,Zone_Type,Road_Type,Population_Density,Distance_to_Factory_km,Construction_Level,Season,Temperature_C,Humidity_Percent,Rainfall_mm,Wind_Speed_kmh,Wind_Direction,Atmospheric_Pressure_hPa,Traffic_Density,Vehicle_Count_Per_Hour,Rush_Hour,Industrial_Level,Green_Cover_Percent,Previous_Day_AQI,AQI_US
2021,1,16,10,Saturday,Yes,No,Mahara,Urban,Main Road,5630,4.23,Low,Northeast Monsoon,30.3,77.6,117.1,11.5,NE,1003.6,2.37,11516.0,No,6,12,99.8,73.3
2021,1,16,16,Saturday,Yes,No,Piliyandala,Suburban,Secondary Road,6162,3.52,Low,Northeast Monsoon,29.8,80.6,27.5,19.1,NW,1006.8,2.8,16639.0,No,6,17,59.2,74.6
2021,1,17,5,Sunday,Yes,No,Nawala,Urban,Secondary Road,5984,8.16,Medium,Northeast Monsoon,28.4,80.3,16.1,12.9,SE,1009.5,1.55,9551.0,No,7,19,47.3,75.1
2021,1,17,12,Sunday,Yes,No,Moratuwa,Urban,Main Road,5897,3.33,High,Northeast Monsoon,29.3,64.5,63.3,11.8,W,1012.3,2.57,14189.0,No,9,12,62.7,89.2
2021,1,18,7,Monday,No,No,Angoda,Suburban,Main Road,5559,1.66,Low,Northeast Monsoon,26.0,83.2,44.6,11.6,SE,1012.7,3.5,23923.0,Yes,4,21,35.0,86.2
2021,1,18,17,Monday,No,No,Rajagiriya,Urban,Main Road,6221,4.91,Medium,Northeast Monsoon,31.6,81.8,21.3,12.6,N,1013.9,4.26,25160.0,Yes,7,17,102.0,137.3
2021,1,19,9,Tuesday,No,No,Mulleriyawa,Suburban,Secondary Road,7913,3.91,Low,Northeast Monsoon,27.6,82.7,46.5,12.8,NE,1016.9,3.81,23121.0,Yes,5,21,63.0,94.2
2021,1,19,17,Tuesday,No,No,Athurugiriya,Suburban,Secondary Road,4725,3.96,Medium,Northeast Monsoon,29.6,80.7,36.1,18.8,SW,1001.3,3.5,20606.0,Yes,4,20,99.1,93.5
2021,1,19,21,Tuesday,No,No,Kotte (Sri Jayawardenepura Kotte),Urban,Main Road,5560,4.7,High,Northeast Monsoon,29.1,76.7,8.4,13.5,SW,1015.6,2.72,14966.0,No,5,14,66.1,90.6
2021,1,19,21,Tuesday,No,No,Kotte (Sri Jayawardenepura Kotte),Urban,Secondary Road,5986,3.74,Medium,Northeast Monsoon,28.0,82.0,38.5,12.7,W,1016.8,2.83,16471.0,No,8,17,108.0,94.7
2021,1,20,1,Wednesday,No,No,Koswatta,Suburban,Secondary Road,6518,3.49,High,Northeast Monsoon,29.1,84.0,31.3,14.3,NW,1008.3,1.44,7242.0,No,7,25,52.1,47.0
2021,1,20,3,Wednesday,No,No,Horana,Suburban,Main Road,6399,5.28,High,Northeast Monsoon,31.2,76.6,112.8,11.6,NW,1008.4,0.9,8291.0,No,7,21,35.2,47.1
2021,1,20,16,Wednesday,No,No,Kelaniya,Commercial/Industrial,Highway,7678,3.28,High,Northeast Monsoon,30.5,91.3,4.6,15.6,W,1009.8,4.58,28431.0,No,7,17,76.6,137.2
2021,1,20,19,Wednesday,No,No,Nawala,Urban,Main Road,7094,2.59,High,Northeast Monsoon,28.7,79.5,214.5,13.0,S,1007.0,4.65,23994.0,Yes,7,15,69.6,92.5
2021,1,21,15,Thursday,No,No,Thalawathugoda,Suburban,Main Road,6682,5.79,Low,Northeast Monsoon,30.3,79.9,50.3,9.7,NW,1015.2,2.39,15354.0,No,7,21,78.9,70.7
2021,1,21,16,Thursday,No,No,Thalawathugoda,Suburban,Main Road,4941,3.9,High,Northeast Monsoon,27.9,79.5,63.8,19.7,NE,1011.2,3.42,22819.0,No,8,19,59.0,98.2
2021,1,21,23,Thursday,No,No,Kaduwela,Suburban,Main Road,6315,3.62,High,Northeast Monsoon,26.1,70.2,33.2,15.1,E,1008.2,1.55,11310.0,No,5,15,57.0,59.5
2021,1,22,19,Friday,No,No,Godagama,Suburban,Main Road,4982,6.03,Low,Northeast Monsoon,27.2,87.5,144.0,20.7,W,1016.4,3.73,20547.0,Yes,8,25,81.2,82.7
2021,1,22,20,Friday,No,No,Athurugiriya,Suburban,Secondary Road,5909,4.5,Medium,Northeast Monsoon,29.4,81.3,42.0,20.5,E,1010.2,2.43,14545.0,No,6,19,41.7,76.1
2021,1,23,8,Saturday,Yes,No,Rajagiriya,Urban,Main Road,6983,2.35,High,Northeast Monsoon,30.4,64.4,159.4,14.3,E,1009.2,3.48,20587.0,Yes,9,11,137.6,114.8
2021,1,23,10,Saturday,Yes,No,Nawala,Urban,Main Road,6314,5.03,Low,Northeast Monsoon,29.4,72.9,140.6,11.7,N,1010.6,2.24,12146.0,No,7,19,73.2,60.8
2021,1,23,12,Saturday,Yes,No,Peliyagoda,Commercial/Industrial,Main Road,7127,2.9,High,Northeast Monsoon,25.0,71.2,26.5,20.8,SW,1011.2,2.01,14583.0,No,6,23,210.4,127.5
2021,1,24,15,Sunday,Yes,No,Kotte (Sri Jayawardenepura Kotte),Urban,Secondary Road,6200,3.73,High,Northeast Monsoon,31.3,76.1,40.3,10.2,E,1016.8,1.84,12648.0,No,7,16,83.5,85.2
2021,1,25,13,Monday,No,No,Godagama,Suburban,Main Road,6189,5.78,Low,Northeast Monsoon,29.5,82.2,64.4,15.2,S,1010.6,2.29,14188.0,No,5,24,86.4,71.8
2021,1,25,17,Monday,No,No,Nugegoda,Urban,Secondary Road,6054,7.65,High,Northeast Monsoon,27.5,83.7,73.7,15.2,SE,1015.2,4.43,26361.0,Yes,8,12,110.8,153.5
2021,1,25,19,Monday,No,No,Peliyagoda,Commercial/Industrial,Main Road,8031,4.0,Medium,Northeast Monsoon,28.0,79.0,111.9,15.5,E,1007.1,4.67,27585.0,Yes,8,21,121.1,131.3
2021,1,26,7,Tuesday,No,No,Nawala,Urban,Secondary Road,5824,4.95,Medium,Northeast Monsoon,32.1,77.2,29.3,8.7,SE,1021.8,3.73,24921.0,Yes,7,19,100.2,131.3
2021,1,26,12,Tuesday,No,No,Maharagama,Urban,Main Road,7228,2.28,Low,Northeast Monsoon,28.6,85.3,56.4,13.4,NW,1003.8,2.76,17089.0,No,7,22,74.6,70.8
2021,1,26,16,Tuesday,No,No,Hanwella,Suburban,Main Road,5078,7.38,High,Northeast Monsoon,29.1,77.2,49.0,11.5,S,1007.9,3.17,19468.0,No,6,29,53.1,103.3
2021,1,27,1,Wednesday,No,No,Malabe,Suburban,Secondary Road,5429,5.83,Low,Northeast Monsoon,27.4,82.3,54.8,16.7,S,1008.0,1.17,6872.0,No,5,15,59.6,54.9
2021,1,27,3,Wednesday,No,No,Battaramulla,Urban,Main Road,5846,4.36,High,Northeast Monsoon,29.2,98.0,86.7,15.9,N,1013.8,1.18,8180.0,No,7,25,92.5,50.5
2021,1,27,7,Wednesday,No,No,Malabe,Suburban,Main Road,5701,2.83,Medium,Northeast Monsoon,28.7,84.9,32.3,17.0,SE,1011.9,3.79,21128.0,Yes,4,19,93.0,97.9
2021,1,28,12,Thursday,No,No,Kottawa,Suburban,Main Road,5820,2.98,Low,Northeast Monsoon,29.0,64.0,40.5,17.1,NE,1005.2,2.21,16323.0,No,7,20,49.0,83.0
2021,1,28,23,Thursday,No,No,Horana,Suburban,Secondary Road,4985,3.69,Low,Northeast Monsoon,29.5,78.0,26.9,13.9,S,1018.2,1.81,9114.0,No,5,17,80.4,64.2
2021,1,29,3,Friday,No,No,Dehiwala-Mount Lavinia,Urban,Secondary Road,6345,3.59,Low,Northeast Monsoon,28.1,79.1,58.9,13.9,NE,1015.7,1.15,6714.0,No,7,13,130.3,73.3
2021,1,29,4,Friday,No,No,Rajagiriya,Urban,Secondary Road,8306,2.52,High,Northeast Monsoon,27.4,87.0,39.8,10.9,E,1009.6,1.42,8757.0,No,7,17,134.1,89.3
2021,1,31,13,Sunday,Yes,No,Hanwella,Suburban,Main Road,3827,3.24,High,Northeast Monsoon,30.2,77.1,53.2,13.8,SE,1004.5,1.62,10606.0,No,6,17,54.7,49.0
2021,2,1,7,Monday,No,No,Kolonnawa,Commercial/Industrial,Main Road,6659,0.5,Low,Northeast Monsoon,28.0,83.3,69.0,13.2,W,1010.6,4.75,28599.0,Yes,9,13,85.7,158.9
2021,2,1,7,Monday,No,No,Rajagiriya,Urban,Main Road,5416,3.59,Medium,Northeast Monsoon,26.9,81.4,153.1,16.3,S,1013.3,3.92,25021.0,Yes,8,15,109.4,126.8
2021,2,1,21,Monday,No,No,Homagama,Suburban,Main Road,5087,4.81,High,Northeast Monsoon,27.6,63.7,14.9,17.0,NW,1009.9,2.58,15995.0,No,7,12,53.6,91.5
2021,2,2,17,Tuesday,No,No,Peliyagoda,Commercial/Industrial,Highway,8174,1.43,Low,Northeast Monsoon,26.7,74.6,23.1,7.5,W,1017.8,4.74,29095.0,Yes,8,13,90.1,141.1
2021,2,3,14,Wednesday,No,No,Battaramulla,Urban,Main Road,6466,3.79,High,Northeast Monsoon,31.0,87.1,18.5,21.5,W,1013.7,2.61,15779.0,No,6,14,50.3,83.1
2021,2,3,14,Wednesday,No,No,Battaramulla,Urban,Main Road,5294,6.34,Medium,Northeast Monsoon,28.0,78.2,71.2,9.4,N,1012.9,2.6,17008.0,No,9,16,89.0,96.3
2021,2,4,11,Thursday,No,Yes,Padukka,Suburban,Main Road,5316,6.89,Medium,Northeast Monsoon,29.0,66.8,64.2,6.6,SE,1007.2,2.15,12344.0,No,4,17,50.5,45.8
2021,2,4,18,Thursday,No,No,Rajagiriya,Urban,Secondary Road,5977,4.36,Medium,Northeast Monsoon,28.1,90.5,35.0,14.3,NE,1008.0,4.31,24958.0,Yes,8,16,58.2,131.2
2021,2,5,0,Friday,No,No,Wellampitiya,Commercial/Industrial,Main Road,7002,5.37,Medium,Northeast Monsoon,29.3,85.2,95.0,16.5,SE,1018.4,1.41,10345.0,No,8,9,149.4,97.0
2021,2,5,2,Friday,No,No,Kaduwela,Suburban,Secondary Road,4901,1.34,Medium,Northeast Monsoon,25.7,83.0,38.4,19.8,W,1010.2,1.34,7974.0,No,5,16,74.5,40.8
2021,2,5,20,Friday,No,No,Mulleriyawa,Suburban,Main Road,5698,6.69,High,Northeast Monsoon,28.4,91.5,28.0,18.7,N,1017.6,2.68,16133.0,No,5,18,62.6,80.2
2021,2,5,23,Friday,No,No,Kaduwela,Suburban,Main Road,5719,4.86,High,Northeast Monsoon,28.8,82.0,171.2,14.7,E,1005.9,1.5,10731.0,No,7,22,41.5,35.0
2021,2,6,0,Saturday,Yes,No,Maharagama,Urban,Secondary Road,5504,3.48,High,Northeast Monsoon,26.5,76.3,30.7,17.1,W,1014.0,1.32,5249.0,No,6,16,106.2,61.1
2021,2,7,0,Sunday,Yes,No,Rajagiriya,Urban,Secondary Road,5972,4.12,Medium,Northeast Monsoon,27.8,96.1,21.9,11.9,N,1014.0,1.78,6328.0,No,7,15,131.9,68.2
2021,2,7,17,Sunday,Yes,No,Nawala,Urban,Secondary Road,7024,6.33,Medium,Northeast Monsoon,28.4,75.1,72.5,15.9,SE,1018.1,3.21,20437.0,Yes,7,10,81.3,102.1
2021,2,8,13,Monday,No,No,Wellampitiya,Commercial/Industrial,Main Road,5846,3.33,Medium,Northeast Monsoon,31.3,73.3,43.8,16.2,S,1007.3,3.43,17696.0,No,8,16,125.7,111.6
2021,2,9,0,Tuesday,No,No,Moratuwa,Urban,Main Road,5493,2.65,High,Northeast Monsoon,29.4,75.3,99.8,15.3,E,1019.1,1.77,7362.0,No,6,13,67.0,61.1
2021,2,10,2,Wednesday,No,No,Kottawa,Suburban,Main Road,5193,3.46,High,Northeast Monsoon,28.5,69.8,33.0,11.1,W,1012.1,0.82,8505.0,No,6,21,58.6,50.8
2021,2,10,6,Wednesday,No,No,Dehiwala-Mount Lavinia,Urban,Secondary Road,6542,4.8,Medium,Northeast Monsoon,27.9,85.6,51.1,9.4,NW,1012.8,2.41,12928.0,No,7,15,70.8,88.0
2021,2,10,8,Wednesday,No,No,Hokandara,Suburban,Main Road,5776,4.58,High,Northeast Monsoon,27.1,78.7,91.2,16.9,SE,1010.4,3.54,21273.0,Yes,4,17,75.4,82.7
2021,2,10,8,Wednesday,No,No,Moratuwa,Urban,Main Road,6979,2.84,Low,Northeast Monsoon,30.4,85.5,157.5,18.1,SW,1011.1,4.23,26951.0,Yes,7,11,55.1,101.2
2021,2,10,15,Wednesday,No,No,Moratuwa,Urban,Main Road,7507,4.82,Low,Northeast Monsoon,29.5,76.7,64.4,19.5,NW,1003.8,3.31,18520.0,No,7,18,79.2,87.0
2021,2,10,18,Wednesday,No,No,Nugegoda,Urban,Main Road,7056,3.27,Low,Northeast Monsoon,29.2,71.7,90.5,12.9,NE,1013.6,4.21,23682.0,Yes,8,17,120.4,134.4
2021,2,11,10,Thursday,No,No,Madiwela,Suburban,Secondary Road,5567,5.73,Medium,Northeast Monsoon,26.1,73.2,56.3,12.4,N,1011.1,1.99,13921.0,No,5,23,101.0,87.7
2021,2,12,8,Friday,No,No,Pannipitiya,Suburban,Main Road,6367,6.63,Medium,Northeast Monsoon,27.5,82.4,71.7,15.2,NW,1005.5,3.48,21932.0,Yes,6,15,63.5,99.1
2021,2,12,15,Friday,No,No,Nugegoda,Urban,Secondary Road,5076,3.21,Low,Northeast Monsoon,28.3,69.4,83.4,12.1,SW,1005.7,3.26,16934.0,No,6,24,67.1,80.8
2021,2,13,3,Saturday,Yes,No,Padukka,Suburban,Secondary Road,4221,4.45,Low,Northeast Monsoon,27.5,81.0,9.5,12.1,NE,1016.8,1.19,5373.0,No,5,16,40.7,42.9
2021,2,14,3,Sunday,Yes,No,Homagama,Suburban,Secondary Road,4643,5.92,Low,Northeast Monsoon,29.9,85.7,54.9,14.8,NW,1020.3,0.84,5589.0,No,3,20,94.2,35.9
2021,2,14,15,Sunday,Yes,No,Rajagiriya,Urban,Main Road,7215,3.32,Medium,Northeast Monsoon,26.8,76.9,48.2,17.1,E,1017.4,2.67,13043.0,No,7,16,35.0,60.5
2021,2,15,4,Monday,No,No,Boralesgamuwa,Suburban,Main Road,6250,2.41,Low,Northeast Monsoon,28.2,79.6,70.1,10.0,NE,1013.1,1.18,6258.0,No,8,17,57.9,46.1
2021,2,16,5,Tuesday,No,Yes,Godagama,Suburban,Secondary Road,4319,6.74,High,Northeast Monsoon,27.5,72.2,43.4,21.1,W,1010.5,1.31,8610.0,No,8,19,43.2,56.8
2021,2,16,13,Tuesday,No,No,Moratuwa,Urban,Main Road,4938,3.32,Low,Northeast Monsoon,29.2,84.3,19.1,14.6,W,1008.3,2.83,18967.0,No,9,14,45.9,89.8
2021,2,16,22,Tuesday,No,No,Avissawella,Suburban,Secondary Road,3669,4.84,High,Northeast Monsoon,28.1,87.6,47.8,9.8,E,1011.3,2.41,12127.0,No,5,20,59.1,60.8
2021,2,17,7,Wednesday,No,No,Angoda,Suburban,Main Road,3690,5.17,High,Northeast Monsoon,28.2,83.6,99.8,15.0,N,1006.4,3.94,21091.0,Yes,4,23,35.0,64.2
2021,2,17,17,Wednesday,No,No,Kottawa,Suburban,Main Road,4704,2.65,Low,Northeast Monsoon,28.3,85.8,83.5,11.1,NW,1009.4,3.64,25294.0,Yes,7,18,91.3,112.8
2021,2,17,18,Wednesday,No,No,Colombo City,Commercial/Industrial,Main Road,8333,3.17,Low,Northeast Monsoon,30.7,75.6,84.7,11.3,W,1010.7,5.47,31087.0,Yes,9,11,72.2,137.0
2021,2,18,5,Thursday,No,No,Boralesgamuwa,Suburban,Secondary Road,4526,4.99,Low,Northeast Monsoon,28.4,81.9,78.6,13.9,E,1016.6,1.95,11474.0,No,6,14,89.0,62.6
2021,2,18,17,Thursday,No,No,Battaramulla,Urban,Secondary Road,6965,5.4,Low,Northeast Monsoon,29.7,80.0,14.1,13.8,W,1007.2,4.35,23177.0,Yes,6,15,120.7,127.7
2021,2,18,17,Thursday,No,No,Peliyagoda,Commercial/Industrial,Main Road,7864,1.46,Low,Northeast Monsoon,29.0,77.3,43.0,11.1,NE,1013.8,4.91,28645.0,Yes,10,17,108.3,155.3
2021,2,19,13,Friday,No,No,Pannipitiya,Suburban,Secondary Road,5718,5.49,High,Northeast Monsoon,31.2,68.0,69.7,8.2,N,1012.7,2.62,15263.0,No,7,16,43.3,73.5
2021,2,20,18,Saturday,Yes,No,Moratuwa,Urban,Main Road,6910,4.42,Medium,Northeast Monsoon,29.2,80.8,17.7,12.6,NW,1014.3,3.5,21222.0,Yes,7,13,79.5,101.3
2021,2,21,11,Sunday,Yes,No,Kotikawatta,Urban,Highway,6071,4.87,High,Northeast Monsoon,29.1,86.8,126.0,12.2,S,1013.4,2.65,14317.0,No,7,13,145.2,108.0
2021,2,21,20,Sunday,Yes,No,Battaramulla,Urban,Secondary Road,4000,3.82,Low,Northeast Monsoon,25.5,78.8,94.1,16.5,SE,1013.2,2.37,14611.0,No,7,15,108.3,71.2
2021,2,21,22,Sunday,Yes,No,Colombo City,Commercial/Industrial,Main Road,6846,2.42,Medium,Northeast Monsoon,27.7,77.2,81.2,13.8,SW,1012.1,2.56,17812.0,No,9,9,112.5,110.4
2021,2,22,21,Monday,No,No,Talawatugoda,Suburban,Secondary Road,4899,4.48,Low,Northeast Monsoon,26.7,85.9,36.4,16.9,SW,1011.5,2.77,15454.0,No,7,20,78.9,85.3
2021,2,23,4,Tuesday,No,No,Malabe,Suburban,Secondary Road,5622,6.06,High,Northeast Monsoon,28.0,78.1,37.8,14.3,NE,1010.8,1.57,8238.0,No,4,15,75.4,49.1
2021,2,24,2,Wednesday,No,No,Pannipitiya,Suburban,Secondary Road,5099,5.49,Low,Northeast Monsoon,29.4,86.0,27.9,13.8,NW,1011.2,1.27,6936.0,No,5,20,35.4,52.5
2021,2,24,7,Wednesday,No,No,Kotte (Sri Jayawardenepura Kotte),Urban,Main Road,5083,4.34,Low,Northeast Monsoon,29.0,77.7,43.1,12.2,SW,1009.1,3.82,25291.0,Yes,9,24,66.4,110.6
2021,2,24,7,Wednesday,No,No,Piliyandala,Suburban,Secondary Road,5908,5.52,High,Northeast Monsoon,29.4,85.7,61.2,19.0,W,1008.9,3.43,20525.0,Yes,8,21,37.3,94.7
2021,2,25,12,Thursday,No,No,Mahara,Urban,Main Road,6114,4.6,Low,Northeast Monsoon,27.7,84.2,19.5,8.5,SE,1004.2,2.68,17359.0,No,6,21,84.4,85.9
2021,2,25,17,Thursday,No,No,Athurugiriya,Suburban,Secondary Road,3831,7.55,Medium,Northeast Monsoon,28.2,82.6,83.3,16.0,NE,1008.8,3.41,21541.0,Yes,7,27,64.4,102.0
2021,2,25,20,Thursday,No,No,Kottawa,Suburban,Secondary Road,5655,4.3,High,Northeast Monsoon,27.9,97.4,112.9,20.0,NE,1018.0,2.69,16561.0,No,6,16,79.1,78.9
2021,2,26,3,Friday,No,No,Kottawa,Suburban,Secondary Road,5802,3.92,Medium,Northeast Monsoon,29.4,77.2,92.4,9.4,N,1012.5,1.27,6984.0,No,5,22,63.0,59.5
2021,2,26,5,Friday,No,No,Maharagama,Urban,Main Road,7313,3.83,High,Northeast Monsoon,28.6,78.6,28.9,15.0,NW,1004.8,1.96,13912.0,No,6,15,82.0,81.4
2021,2,26,9,Friday,No,No,Boralesgamuwa,Suburban,Secondary Road,5643,6.29,Medium,Northeast Monsoon,27.6,86.8,93.1,17.2,NW,1016.8,3.58,20913.0,Yes,7,15,71.0,94.4
2021,2,26,11,Friday,No,No,Mahara,Urban,Secondary Road,6411,6.98,Medium,Northeast Monsoon,31.0,69.0,39.4,6.7,SW,1004.1,2.83,13990.0,No,6,16,62.0,93.6
2021,2,26,14,Friday,No,No,Boralesgamuwa,Suburban,Secondary Road,5081,5.74,Medium,Northeast Monsoon,30.5,86.8,36.0,10.6,SE,1015.8,2.2,14383.0,No,6,23,88.7,82.6
2021,2,28,3,Sunday,Yes,No,Avissawella,Suburban,Secondary Road,4615,2.56,Low,Northeast Monsoon,29.7,85.6,23.5,18.4,N,1015.1,0.53,4945.0,No,6,28,47.1,35.0
2021,3,1,3,Monday,No,No,Padukka,Suburban,Secondary Road,4465,4.78,Medium,Inter-monsoon,29.2,75.7,31.8,11.8,NW,1000.7,1.81,7479.0,No,5,20,81.4,52.6
2021,3,1,5,Monday,No,No,Nawala,Urban,Secondary Road,5021,3.58,Medium,Inter-monsoon,28.9,77.0,39.8,21.1,SE,1012.2,2.4,12599.0,No,7,17,132.7,83.6
2021,3,1,14,Monday,No,No,Padukka,Suburban,Secondary Road,5023,2.99,Low,Inter-monsoon,29.1,92.1,28.9,13.9,NE,1017.3,2.33,14085.0,No,6,27,35.0,45.0
2021,3,1,16,Monday,No,No,Kottawa,Suburban,Main Road,6445,4.32,Low,Inter-monsoon,29.5,88.2,24.8,16.8,E,1007.2,3.84,23228.0,No,6,12,48.3,117.5
